WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.425,20.05,4204,69.7,2102,2312,64.58
0.425,20,4216,69.7,2108,2318,64.58
0.425,19.97,4228,69.7,2114,2325,64.58
0.425,19.95,4252,70.18,2126,2338,64.98
0.425,19.95,4276,70.69,2138,2351,65.39
0.425,19.95,4288,70.69,2144,2358,65.39
0.425,19.95,4304,70.94,2152,2367,65.59
0.425,19.92,4310,71.19,2155,2370,65.79
0.425,19.89,4323,71.45,2161,2377,65.99
0.425,19.89,4341,71.45,2170,2387,65.99
0.425,19.87,4354,71.45,2177,2394,65.99
0.425,19.89,4366,71.45,2183,2401,65.99
0.425,19.87,4372,71.72,2186,2404,66.2
0.425,19.87,4378,71.97,2189,2407,66.4
0.425,19.87,4384,71.97,2192,2411,66.4
0.425,19.87,4390,72.25,2195,2414,66.61
0.425,19.87,4401,72.25,2200,2420,66.61
0.425,19.87,4407,72.25,2203,2423,66.61
0.425,19.87,4418,72.25,2209,2429,66.61
0.425,19.84,4430,72.25,2215,2436,66.61
0.425,19.84,4437,72.53,2218,2440,66.82
0.425,19.84,4449,72.53,2224,2446,66.82
0.425,19.84,4456,72.79,2228,2450,67.02
0.425,19.84,4467,73.08,2233,2456,67.23
0.425,19.84,4479,73.08,2239,2463,67.23
0.425,19.84,4485,73.08,2242,2466,67.23
0.425,19.87,4490,73.08,2245,2469,67.23
0.425,19.84,4490,73.08,2245,2469,67.23
0.425,19.84,4490,73.08,2245,2469,67.23
0.425,19.84,4490,73.08,2245,2469,67.23
0.425,19.84,4491,73.08,2245,2470,67.23
0.425,19.84,4491,73.08,2245,2470,67.23
0.425,19.84,4491,73.36,2245,2470,67.44
0.425,19.84,4491,73.36,2245,2470,67.44
0.425,19.84,4502,73.65,2251,2476,67.65
0.425,19.84,4508,73.94,2254,2479,67.86
0.425,19.84,4514,73.94,2257,2482,67.86
0.425,19.84,4526,74.24,2263,2489,68.07
0.425,19.84,4526,74.24,2263,2489,68.07
0.425,19.84,4532,74.24,2266,2492,68.07
0.425,19.84,4538,74.24,2269,2495,68.07
0.425,19.84,4544,74.24,2272,2499,68.07
0.425,19.84,4550,74.24,2275,2502,68.07
0.425,19.84,4562,74.24,2281,2509,68.07
0.425,19.84,4568,74.24,2284,2512,68.07
0.425,19.84,4574,74.24,2287,2515,68.07
0.425,19.84,4580,74.24,2290,2519,68.07
0.425,19.84,4580,74.84,2290,2519,68.49
0.425,19.84,4587,74.24,2293,2522,68.07
0.425,19.84,4587,74.54,2293,2522,68.28
0.425,19.84,4587,74.84,2293,2522,68.49
0.425,19.84,4587,74.84,2293,2522,68.49
0.425,19.84,4587,74.84,2293,2522,68.49
0.425,19.84,4593,75.14,2296,2526,68.7
0.425,19.84,4599,74.84,2299,2529,68.49
0.425,19.84,4605,75.14,2302,2532,68.7
0.425,19.84,4611,75.14,2305,2536,68.7
0.425,19.84,4611,75.14,2305,2536,68.7
0.425,19.84,4611,75.14,2305,2536,68.7
0.425,19.84,4611,75.14,2305,2536,68.7
0.425,19.84,4611,75.14,2305,2536,68.7
0.425,19.84,4611,75.14,2305,2536,68.7
0.425,19.84,4617,75.14,2308,2539,68.7
0.425,19.84,4623,75.14,2311,2542,68.7
0.425,19.84,4629,75.14,2314,2545,68.7
0.425,19.84,4636,75.14,2318,2549,68.7
0.425,19.84,4629,75.14,2314,2545,68.7
0.425,19.84,4623,75.77,2311,2542,69.13
0.425,19.49,4526,71.97,2263,2489,66.4
0.425,19.52,4525,71.97,2262,2488,66.4
0.425,19.52,4524,72.25,2262,2488,66.61
0.425,19.55,4523,71.97,2261,2487,66.4
0.425,19.6,4520,72.25,2260,2486,66.61
0.425,19.63,4523,72.25,2261,2487,66.61
0.425,19.63,4526,72.25,2263,2489,66.61
0.425,19.63,4536,72.25,2268,2494,66.61
0.425,19.65,4547,72.53,2273,2500,66.82
0.425,19.65,4552,72.53,2276,2503,66.82
0.425,19.68,4551,72.79,2275,2503,67.02
0.425,19.68,4549,73.08,2274,2501,67.23
0.425,19.68,4555,73.08,2277,2505,67.23
0.425,19.71,4553,73.08,2276,2504,67.23
0.425,19.71,4558,73.08,2279,2506,67.23
0.425,19.71,4564,73.08,2282,2510,67.23
0.425,19.71,4563,73.08,2281,2509,67.23
0.425,19.71,4569,73.08,2284,2512,67.23
0.425,19.71,4576,73.08,2288,2516,67.23
0.425,19.73,4569,73.08,2284,2512,67.23
0.425,19.73,4574,73.08,2287,2515,67.23
0.425,19.73,4580,73.08,2290,2519,67.23
0.425,19.73,4579,73.08,2289,2518,67.23
0.425,19.73,4586,73.08,2293,2522,67.23
0.425,19.73,4586,73.08,2293,2522,67.23
0.425,19.73,4580,73.08,2290,2519,67.23
0.425,19.73,4580,73.08,2290,2519,67.23
0.425,19.73,4586,73.08,2293,2522,67.23
0.425,19.73,4586,73.08,2293,2522,67.23
0.425,19.71,4592,73.08,2296,2525,67.23
0.425,19.71,4599,73.08,2299,2529,67.23
0.425,19.73,4599,73.36,2299,2529,67.44
0.425,19.73,4599,73.65,2299,2529,67.65
0.425,19.73,4598,73.94,2299,2528,67.86
0.425,18.74,4183,67.68,2091,2300,62.82
0.425,18.93,4204,67.68,2102,2312,62.82
0.425,19.09,4227,68.33,2113,2324,63.4
0.425,19.22,4252,68.56,2126,2338,63.6
0.425,19.3,4275,69.01,2137,2351,63.99
0.425,19.41,4274,69.01,2137,2350,63.99
0.425,19.44,4276,69.01,2138,2351,63.99
0.425,19.52,4274,69.48,2137,2350,64.39
0.425,19.52,4280,69.7,2140,2354,64.58
0.425,19.55,4293,69.7,2146,2361,64.58
0.425,19.55,4306,69.7,2153,2368,64.58
0.425,19.57,4321,69.7,2160,2376,64.58
0.425,19.57,4342,69.94,2171,2388,64.78
0.425,19.6,4357,70.18,2178,2396,64.98
0.425,19.6,4361,70.43,2180,2398,65.18
0.425,19.63,4366,70.69,2183,2401,65.39
0.425,19.63,4370,70.69,2185,2403,65.39
0.425,19.63,4375,70.69,2187,2406,65.39
0.425,19.63,4385,70.69,2192,2411,65.39
0.425,19.63,4402,70.69,2201,2421,65.39
0.425,19.63,4408,70.94,2204,2424,65.59
0.425,19.63,4413,71.19,2206,2427,65.79
0.425,19.63,4419,71.45,2209,2430,65.99
0.425,19.63,4425,71.45,2212,2433,65.99
0.425,19.63,4431,71.45,2215,2437,65.99
0.425,19.63,4437,71.45,2218,2440,65.99
0.425,19.63,4443,71.45,2221,2443,65.99
0.425,19.63,4448,71.45,2224,2446,65.99
0.425,19.63,4454,71.45,2227,2449,65.99
0.425,19.63,4459,71.45,2229,2452,65.99
0.425,19.63,4465,71.45,2232,2455,65.99
0.425,19.63,4471,71.72,2235,2459,66.2
0.425,19.63,4477,71.97,2238,2462,66.4
0.425,19.63,4483,71.97,2241,2465,66.4
0.425,19.63,4494,71.97,2247,2471,66.4
0.425,19.63,4494,72.25,2247,2471,66.61
0.425,19.63,4500,72.25,2250,2475,66.61
0.425,19.63,4506,72.25,2253,2478,66.61
0.425,19.63,4506,72.25,2253,2478,66.61
0.425,19.63,4512,72.25,2256,2481,66.61
0.425,19.63,4512,72.25,2256,2481,66.61
0.425,19.63,4512,72.25,2256,2481,66.61
0.425,19.63,4512,72.25,2256,2481,66.61
0.425,19.63,4512,72.25,2256,2481,66.61
0.425,19.63,4512,72.25,2256,2481,66.61
0.425,19.63,4518,72.53,2259,2484,66.82
0.425,19.63,4524,72.53,2262,2488,66.82
0.425,19.63,4530,72.53,2265,2491,66.82
0.425,19.63,4541,72.79,2270,2497,67.02
0.425,19.63,4547,72.79,2273,2500,67.02
0.425,19.63,4553,73.08,2276,2504,67.23
0.425,19.63,4559,73.08,2279,2507,67.23
0.425,19.22,4438,69.7,2219,2440,64.58
0.425,19.2,4444,69.7,2222,2444,64.58
0.425,19.25,4454,69.7,2227,2449,64.58
0.425,19.3,4464,69.7,2232,2455,64.58
0.425,19.33,4473,69.7,2236,2460,64.58
0.425,19.39,4474,69.7,2237,2460,64.58
0.425,19.41,4475,70.18,2237,2461,64.98
0.425,19.41,4478,70.18,2239,2462,64.98
0.425,19.44,4481,70.43,2240,2464,65.18
0.425,19.44,4485,70.43,2242,2466,65.18
0.425,19.49,4489,70.43,2244,2468,65.18
0.425,19.49,4493,70.43,2246,2471,65.18
0.425,19.49,4498,70.69,2249,2473,65.39
0.425,19.52,4508,70.69,2254,2479,65.39
0.425,19.52,4507,70.69,2253,2478,65.39
0.425,19.52,4506,70.69,2253,2478,65.39
0.425,19.52,4511,70.69,2255,2481,65.39
0.425,19.52,4511,70.69,2255,2481,65.39
0.425,19.52,4517,70.69,2258,2484,65.39
0.425,19.52,4523,70.69,2261,2487,65.39
0.425,19.52,4523,70.69,2261,2487,65.39
0.425,19.52,4523,70.69,2261,2487,65.39
0.425,19.52,4523,70.69,2261,2487,65.39
0.425,19.52,4523,70.69,2261,2487,65.39
0.425,19.52,4517,70.69,2258,2484,65.39
0.425,19.52,4523,70.69,2261,2487,65.39
0.425,19.52,4523,70.69,2261,2487,65.39
0.425,19.52,4529,70.69,2264,2490,65.39
0.425,19.52,4535,70.69,2267,2494,65.39
0.425,19.52,4529,70.69,2264,2490,65.39
0.425,19.52,4529,70.69,2264,2490,65.39
0.425,19.52,4523,70.69,2261,2487,65.39
0.425,19.09,4253,67.05,2126,2339,62.24
0.425,19.2,4266,68.33,2133,2346,63.4
0.425,19.3,4277,69.01,2138,2352,63.99
0.425,19.33,4298,69.7,2149,2363,64.58
0.425,19.41,4322,69.7,2161,2377,64.58
0.425,19.41,4345,70.43,2172,2389,65.18
0.425,19.44,4375,70.69,2187,2406,65.39
0.425,19.47,4394,70.69,2197,2416,65.39
0.425,19.49,4414,70.69,2207,2427,65.39
0.425,19.52,4423,71.19,2211,2432,65.79
0.425,19.52,4426,71.45,2213,2434,65.99
0.425,19.52,4430,71.45,2215,2436,65.99
