WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.4,21.79,3848,63.91,1924,2116,59.08
0.4,21.73,3916,65.12,1958,2153,60.36
0.4,21.73,3920,65.49,1960,2156,60.73
0.4,21.71,3926,65.68,1963,2159,60.92
0.4,21.66,3932,65.87,1966,2162,61.11
0.4,21.66,3938,66.25,1969,2165,61.48
0.4,21.63,3945,66.25,1972,2169,61.48
0.4,21.63,3952,66.65,1976,2173,61.86
0.4,21.63,3967,66.85,1983,2181,62.05
0.4,21.63,3982,66.85,1991,2190,62.05
0.4,21.63,4001,67.68,2000,2200,62.82
0.4,21.63,4011,67.68,2005,2206,62.82
0.4,21.63,4021,67.89,2010,2211,63.01
0.4,21.63,4036,68.11,2018,2219,63.21
0.4,21.6,4047,68.33,2023,2225,63.4
0.4,21.6,4067,68.33,2033,2236,63.4
0.4,21.6,4078,68.56,2039,2242,63.6
0.4,21.6,4089,69.01,2044,2248,63.99
0.4,21.58,4095,69.01,2047,2252,63.99
0.4,21.6,4100,69.01,2050,2255,63.99
0.4,21.58,4106,69.48,2053,2258,64.39
0.4,21.58,4106,69.7,2053,2258,64.58
0.4,21.58,4106,69.7,2053,2258,64.58
0.4,21.58,4107,69.7,2053,2258,64.58
0.4,21.58,4107,69.7,2053,2258,64.58
0.4,21.58,4112,69.94,2056,2261,64.78
0.4,21.58,4112,70.69,2056,2261,65.39
0.4,21.55,4113,70.69,2056,2262,65.39
0.4,21.55,4119,70.69,2059,2265,65.39
0.4,21.55,4119,71.19,2059,2265,65.79
0.4,21.42,4163,66.85,2081,2289,62.05
0.4,21.42,4179,66.65,2089,2298,61.86
0.4,21.42,4200,66.85,2100,2310,62.05
0.4,21.42,4227,67.26,2113,2324,62.43
0.4,21.42,4260,66.85,2130,2343,62.05
0.4,21.42,4276,67.68,2138,2351,62.82
0.4,21.42,4293,67.68,2146,2361,62.82
0.4,21.45,4315,67.68,2157,2373,62.82
0.4,21.42,4337,68.33,2168,2385,63.4
0.4,21.45,4371,68.33,2185,2404,63.4
0.4,21.45,4399,68.33,2199,2419,63.4
0.4,21.47,4428,68.56,2214,2435,63.6
0.4,21.47,4450,68.77,2225,2447,63.79
0.4,21.47,4461,69.01,2230,2453,63.99
0.4,21.47,4473,69.01,2236,2460,63.99
0.4,21.47,4473,69.01,2236,2460,63.99
0.4,21.47,4473,69.48,2236,2460,64.39
0.4,21.47,4473,69.7,2236,2460,64.58
0.4,21.47,4491,69.7,2245,2470,64.58
0.4,21.5,4514,69.7,2257,2482,64.58
0.4,21.5,4538,69.7,2269,2495,64.58
0.4,21.5,4561,69.7,2280,2508,64.58
0.4,21.5,4579,69.7,2289,2518,64.58
0.4,21.5,4605,69.7,2302,2532,64.58
0.4,21.53,4629,69.94,2314,2545,64.78
0.4,21.34,3677,62.78,1838,2022,57.83
0.4,21.32,3783,62.34,1891,2080,57.31
0.4,21.32,3783,62.78,1891,2080,57.83
0.4,21.32,3787,62.78,1893,2082,57.83
0.4,21.32,3792,62.78,1896,2085,57.83
0.4,21.32,3796,63.26,1898,2087,58.37
0.4,21.34,3805,63.41,1902,2092,58.54
0.4,21.34,3809,63.41,1904,2094,58.54
0.4,21.34,3813,63.41,1906,2097,58.54
0.4,21.37,3816,63.41,1908,2098,58.54
0.4,21.37,3815,63.74,1907,2098,58.9
0.4,21.39,3819,63.91,1909,2100,59.08
0.4,21.39,3827,63.91,1913,2104,59.08
0.4,21.37,3836,63.91,1918,2109,59.08
0.4,21.39,3849,64.08,1924,2116,59.27
0.4,21.42,3863,64.25,1931,2124,59.45
0.4,21.39,3872,64.25,1936,2129,59.45
