WC_ratio,TEMP,EC,VWC,TDS,SALINITY,EPSILON
0.6,21.19,5339,91.02,2669,2936,77.6
0.6,20.9,5364,91.02,2682,2950,77.6
0.6,20.66,5388,91.02,2694,2963,77.6
0.6,20.48,5417,91.02,2708,2979,77.6
0.6,20.37,5458,91.02,2729,3001,77.6
0.6,20.26,5468,91.02,2734,3007,77.6
0.6,20.21,5482,91.02,2741,3015,77.6
0.6,20.16,5491,91.02,2745,3020,77.6
0.6,20.16,5498,91.02,2749,3023,77.6
0.6,20.08,5512,91.02,2756,3031,77.6
0.6,20.08,5525,91.02,2762,3038,77.6
0.6,20.05,5528,91.02,2764,3040,77.6
0.6,20.05,5523,92.64,2761,3037,78.34
0.6,20.05,5524,91.02,2762,3038,77.6
0.6,20.05,5525,91.57,2762,3038,77.85
0.6,20.05,5533,91.57,2766,3043,77.85
0.6,20.05,5542,92.09,2771,3048,78.09
0.6,20.05,5542,92.09,2771,3048,78.09
0.6,20.05,5542,92.09,2771,3048,78.09
0.6,20.05,5533,92.09,2766,3043,78.09
0.6,20.05,5533,92.09,2766,3043,78.09
0.6,20.05,5533,92.09,2766,3043,78.09
0.6,20.03,5534,92.64,2767,3043,78.34
0.6,20.05,5542,92.64,2771,3048,78.34
0.6,20.05,5542,92.64,2771,3048,78.34
0.6,20.05,5534,92.64,2767,3043,78.34
0.6,20.05,5533,92.64,2766,3043,78.34
0.6,20.03,5534,92.64,2767,3043,78.34
0.6,20.05,5534,92.64,2767,3043,78.34
0.6,20.05,5542,92.64,2771,3048,78.34
0.6,20.05,5542,92.64,2771,3048,78.34
0.6,20.05,5542,92.64,2771,3048,78.34
0.6,20.05,5542,93.2,2771,3048,78.59
0.6,20.05,5542,92.64,2771,3048,78.34
0.6,20.05,5542,92.64,2771,3048,78.34
0.6,20.05,5542,92.64,2771,3048,78.34
0.6,20.05,5542,94.88,2771,3048,79.33
0.6,20.05,5550,96.67,2775,3052,80.09
0.6,20.05,5550,95.47,2775,3052,79.58
0.6,20.05,5550,94.88,2775,3052,79.33
0.6,20.05,5550,95.47,2775,3052,79.58
0.6,20.05,5542,94.88,2771,3048,79.33
0.6,20.05,5550,96.67,2775,3052,80.09
0.6,20.05,5559,96.05,2779,3057,79.83
0.6,20.05,5567,97.87,2783,3061,80.59
0.6,20.05,5576,95.47,2788,3066,79.58
0.6,20.05,5576,92.64,2788,3066,78.34
0.6,20.05,5567,94.88,2783,3061,79.33
0.6,20.05,5567,96.67,2783,3061,80.09
0.6,20.05,5567,95.47,2783,3061,79.58
0.6,20.05,5559,93.2,2779,3057,78.59
0.6,20.05,5576,96.05,2788,3066,79.83
0.6,20.05,5542,96.67,2771,3048,80.09
0.6,20.05,5542,96.05,2771,3048,79.83
0.6,20.05,5542,94.88,2771,3048,79.33
0.6,20.08,5541,95.47,2770,3047,79.58
0.6,20.08,5540,96.05,2770,3047,79.83
0.6,20.13,5538,94.88,2769,3045,79.33
0.6,20.13,5535,94.88,2767,3044,79.33
0.6,20.13,5533,94.88,2766,3043,79.33
0.6,20.16,5531,94.88,2765,3042,79.33
0.6,20.16,5521,94.88,2760,3036,79.33
0.6,20.16,5512,94.88,2756,3031,79.33
0.6,20.16,5511,94.88,2755,3031,79.33
0.6,20.16,5511,94.88,2755,3031,79.33
